date,Talent,Infrastructure,Operating Environment,Research,Development,Government Strategy,Commercial,Region,Cluster,Income group,Political regime,Total score,Country,value
2000-01-17,1.6785417696257858,-1.527845279317248,77.3,0.5031038759193543,1.1102413760351162,58.83,0.9376261180444465,Asia-Pacific,Waking up,Lower middle,Electoral autocracy,30.36,India,30.36
2000-01-18,0.8482754914256824,0.7758928301342056,44.14,1.2478948350925887,0.8720313060098417,12.18,0.9738839148276367,Europe,Rising stars,High,Liberal democracy,30.25,Switzerland,30.25
2000-01-19,0.9805459992383448,0.5797983453516874,66.77,0.8876774118524539,0.6630668489527127,40.35,0.5532137386981012,Europe,Waking up,High,Liberal democracy,29.85,Sweden,29.85
2000-01-20,0.35605171480873776,1.913296298533997,59.5,1.0305211689917493,0.11413027044024417,33.29,0.682085280620025,Asia-Pacific,Waking up,High,Electoral democracy,29.11,Hong Kong,29.11
2000-01-21,0.359581785569669,0.4684450457228565,75.36,0.4865711011413574,0.28333555582373793,91.28,0.24055966617629596,Europe,Rising stars,High,Liberal democracy,26.95,Spain,26.95
2000-01-22,0.3138206906208768,-0.03872110999766485,76.3,0.7219838759103362,0.6630668489527127,72.14,0.24055966617629596,Europe,Waking up,High,Electoral democracy,26.89,Austria,26.89
2000-01-23,0.4374377651792888,-0.08532005262198775,88.67,0.0674427997829369,0.16911170910540987,72.08,1.3082702962554476,Europe,Waking up,High,Liberal democracy,26.6,Estonia,26.6
2000-01-24,-0.062290637073912,0.7411070262145878,56.67,0.8124269391768992,0.7550078153995613,55.97,0.07736299525599984,Asia-Pacific,Waking up,High,Liberal democracy,25.79,Taiwan,25.79
2000-01-25,0.9506322178065042,0.6404992362321048,36.65,0.6142425693828305,0.45057882040923447,59.05,0.44555279469567066,Europe,Waking up,High,Liberal democracy,25.77,Norway,25.77
2000-01-26,-1.0516960371946018,0.3205353708585897,100.0,0.19743644702424573,0.4957737916124667,91.63,0.5915160315834169,Middle East,Waking up,High,Closed autocracy,25.6,Saudi Arabia,25.6
2000-01-27,0.17784859467293138,-0.004698215412067008,64.08,0.6592083327502914,0.7477657804189737,63.58,0.68357383699073,Europe,Waking up,High,Liberal democracy,25.52,Belgium,25.52
2000-01-28,0.10038634505153525,0.3298523760731397,99.56,-0.019754222635163944,0.15170744659049834,78.14,-0.019668957043779148,Europe,Waking up,High,Electoral democracy,25.2,Poland,25.2
2000-01-29,-0.0011712718664460252,0.39417952485538676,94.55,0.5123114244971544,-1.0727374545451924,80.38,-0.9722022521655017,Europe,Waking up,High,Electoral democracy,25.19,Slovenia,25.19
2000-01-30,0.7198440018693538,0.2613775951175566,90.35,0.10200401136527634,-0.14458435232585085,47.62,0.06415380565382775,Asia-Pacific,Waking up,High,Liberal democracy,24.88,New Zealand,24.88
2000-01-31,-0.18135481421393887,-0.023680753393572024,83.25,0.572082227363775,0.5106871949062054,61.43,0.11266222447661876,Europe,Waking up,High,Liberal democracy,24.45,Italy,24.45
2000-02-01,-0.05132931937946686,-0.14370360116441838,52.85,0.23486354975540202,0.7343340211891419,90.4,-0.41258621246920985,Europe,Waking up,Upper middle,Electoral autocracy,21.99,Russia,21.99
2000-02-02,0.23207840538450655,0.10905821602578755,70.96,-0.46230512576864213,0.3397423590327225,70.49,0.5146601104731944,Europe,Waking up,High,Electoral democracy,21.85,Malta,21.85
2000-02-03,-1.447603624044514,0.8206209263857617,72.12,-0.5651821764211233,0.5554722631231744,81.38,0.27737675904198517,Middle East,Waking up,High,Closed autocracy,21.17,United Arab Emirates,21.17
2000-02-04,0.034560259609657445,-0.05484195156690675,80.66,-0.15678690863468425,-0.41567657967524624,70.69,-0.09622946785157906,Europe,Waking up,High,Electoral democracy,20.89,Portugal,20.89
2000-02-05,-0.1793750668685485,-0.05150946526018606,76.97,0.031082981503231594,-0.634384889894288,70.29,-0.22485820859222627,Europe,Waking up,High,Electoral democracy,20.31,Czech Republic,20.31
2000-02-06,0.4177987997031784,0.4171003287290651,41.19,0.470350070441429,-1.4703065693585569,22.15,0.7446994237690476,Europe,Waking up,High,Liberal democracy,19.81,Iceland,19.81
2000-02-07,0.10780939638369857,-0.11071404853231594,80.67,-0.8523241786813773,-0.11999766676159127,64.28,-0.21569896262961108,Europe,Waking up,High,Electoral democracy,19.59,Lithuania,19.59
2000-02-08,0.03714322909137116,-0.14260638286870644,72.82,-0.6050875700782365,-0.252161032514569,67.72,-0.4238546233657957,Americas,Waking up,Upper middle,Electoral democracy,18.89,Brazil,18.89
2000-02-09,-0.5722530544135849,-0.5249709396030079,83.58,0.2913710587194275,-0.74208081622513,22.15,-0.7103121691131105,Europe,Waking up,High,Liberal democracy,17.33,Greece,17.33
2000-02-10,-0.4568177290569777,0.00984998563037515,88.71,-0.8971964638005688,-1.3853572953688025,43.07,-0.9164087115618423,Europe,Waking up,High,Electoral democracy,17.24,Slovakia,17.24
2000-02-11,-0.2575283143985296,0.22619649554738885,58.01,-0.6782815823192472,-0.21063730109950896,55.01,-0.5966532447045789,Europe,Waking up,High,Electoral autocracy,17.0,Hungary,17.0
2000-02-12,-0.24714677084052364,-0.1738111344065207,73.24,-0.5093614795864199,-1.1398551968917996,47.6,-0.9532943725654771,Asia-Pacific,Waking up,Upper middle,Electoral autocracy,16.66,Malaysia,16.66
2000-02-13,-1.712289686606821,-1.1852572405849302,97.03,-0.23498087297880507,-0.33485441757303225,54.21,-0.8208807090306527,Americas,Waking up,Upper middle,Electoral democracy,15.48,Mexico,15.48
2000-02-14,-0.23478282783169863,-0.1776338538018189,56.73,-1.2217101958924983,-1.2262796482747313,60.5,0.2047996495075398,Americas,Waking up,High,Liberal democracy,15.33,Chile,15.33
2000-02-15,-0.47481934630183675,-0.48810902077363455,75.95,-1.2881321042434546,-0.539377699343253,54.94,-1.2634884199965102,Americas,Waking up,Upper middle,Electoral democracy,15.24,Argentina,15.24
2000-02-16,-2.498452924863823,0.15742233283349716,62.58,0.08124437441849665,-1.5937388118657831,33.49,-1.7696576575836065,Middle East,Waking up,High,Closed autocracy,14.66,Qatar,14.66
2000-02-17,-0.46399147086539955,-1.2351770198721084,64.34,-0.10726142401981688,-1.087160890621136,67.45,-0.6880398026374862,Europe,Waking up,High,Electoral democracy,14.39,Turkey,14.39
2000-02-18,-0.9660638887550176,-0.5580056194115093,62.37,-1.771849172592215,-1.1359706319936467,85.29,-1.0822246038530245,Americas,Waking up,Upper middle,Electoral democracy,13.85,Colombia,13.85
2000-02-19,-0.6169100020296245,-0.35015771725299316,70.75,-1.4539553300321144,-1.4294783734072483,30.92,-1.1581262710727624,Americas,Waking up,High,Liberal democracy,13.27,Uruguay,13.27
2000-02-20,-0.9626152940961142,-0.26336524483444984,60.9,-0.9819167225486638,-1.5937388118657831,17.72,-1.39246966928205,Middle East,Waking up,High,Closed autocracy,11.79,Bahrain,11.79
2000-02-21,-0.7483725977712992,-0.5083849089511773,37.61,-1.0890088630065944,-1.407097905074739,68.86,-1.3007715652604461,Asia-Pacific,Waking up,Lower middle,Closed autocracy,11.62,Vietnam,11.62
2000-02-22,-0.8759811883482419,-0.920542142578914,51.18,-1.3699277844159918,-0.4811297373201708,59.99,-0.717841751567821,Asia-Pacific,Waking up,Lower middle,Electoral democracy,11.47,Indonesia,11.47
2000-02-23,-0.4110341134532025,-1.3300327434296462,62.32,-0.7401044412997511,-1.5937388118657831,12.18,-1.5212776622905209,Africa,Waking up,Lower middle,Electoral democracy,9.87,Tunisia,9.87
2000-02-24,-1.0297515459703033,-1.0058346477335671,58.43,-1.419259609507949,0.01598438427032068,0.0,-0.10426052482167399,Africa,Waking up,Upper middle,Electoral democracy,9.71,South Africa,9.71
2000-02-25,-1.2794249936701392,-1.0457863000502265,60.17,-1.2297282261593252,-1.5592432098426854,15.9,-1.598923370680654,Africa,Waking up,Lower middle,Closed autocracy,8.87,Morocco,8.87
2000-02-26,-0.6979533638214811,-1.3625426279359443,58.4,-1.633172850560295,-1.3907345178381103,14.4,-0.41820424804863365,Europe,Waking up,Upper middle,Electoral democracy,8.49,Armenia,8.49
2000-02-27,-0.7586827742980732,-1.4977932142771375,35.79,-1.7090727565227894,-1.1130622398826922,35.57,-1.6150300442131142,Asia-Pacific,Nascent,Lower middle,Electoral democracy,6.62,Sri Lanka,6.62
2000-02-28,-1.9279005849830597,-1.3191289854662778,0.0,-1.0776957245292205,-0.9176470515330621,68.72,-1.3007715652604461,Middle East,Nascent,Lower middle,Electoral autocracy,4.83,Egypt,4.83
2000-02-29,-2.0794537161221185,-2.2125849585778834,29.84,-1.734549765751301,0.36693732461203626,7.75,-1.3007715652604461,Africa,Nascent,Lower middle,Electoral autocracy,2.3,Kenya,2.3
2000-03-01,-1.4249300979922912,-2.4844529287561223,50.1,-1.560353327891784,-0.7781624234894025,7.75,-1.2757889177362318,Africa,Nascent,Lower middle,Electoral autocracy,1.38,Nigeria,1.38
2000-03-02,-0.5239547885821496,-2.458825346549352,12.48,-1.0576931278986075,-1.0620920770759177,13.92,-1.3523292064904278,Asia-Pacific,Nascent,Lower middle,Electoral autocracy,0.0,Pakistan,0.0
